Mean Central England Temperature 1659 to 2024
Units: Degrees Celsius
Notes:
1) seasonal values are calculated from the monthly data by
   averaging the three monthly values
2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
3) Winter: year refers to January
4) Seasonal data exist for Spring 1659 onwards

  Year   Win    Spr    Sum    Aut  Annual
  1785   1.38   7.26  15.34   9.28   8.56
  1786   2.93   7.08  15.38   7.46   8.25
  1787   4.04   8.56  15.07   9.03   9.29
  1788   3.82   8.89  15.62   9.75   9.19
  1789   1.99   7.29  15.30   8.72   8.90
  1790   5.64   8.12  15.00   9.52   9.44
  1791   4.42   8.85  15.29   9.49   9.27
  1792   2.57   8.65  15.12   9.18   9.17
  1793   3.91   7.09  15.35   9.67   9.11
  1794   4.66   9.46  16.40   9.36   9.86
  1795   0.46   7.46  14.97  10.71   8.69
  1796   6.22   8.17  14.80   9.08   8.99
  1797   2.55   7.64  15.55   8.43   9.01
  1798   4.13   9.42  16.49   9.37   9.60
  1799   1.97   6.10  14.52   8.89   7.88
  1800   2.10   8.53  16.16   9.50   9.28
  1801   4.21   9.05  16.01   9.74   9.63
  1802   2.20   8.36  14.82   9.67   8.98
  1803   2.91   8.65  15.83   8.58   9.09
  1804   4.40   8.30  15.87  10.51   9.59
  1805   2.72   8.23  15.23   9.19   9.00
  1806   4.02   8.02  15.52  10.60   9.84
  1807   4.45   7.47  16.09   8.31   8.69
  1808   2.43   7.60  16.66   8.62   8.87
  1809   3.23   8.14  14.55   9.18   8.97
  1810   3.27   7.42  14.81   9.71   8.78
  1811   3.08   9.61  14.88  11.26   9.70
  1812   3.65   6.64  13.86   9.14   8.21
  1813   3.05   8.68  14.38   8.30   8.73
  1814   0.41   7.20  14.33   8.54   7.78
  1815   3.61   9.36  14.84   9.05   9.08
  1816   2.39   6.80  13.38   8.69   7.89
  1817   4.60   7.27  14.27   9.53   8.89
  1818   3.22   7.59  16.64  11.60   9.89
  1819   4.11   8.97  15.76   8.87   9.27
  1820   1.39   8.33  14.68   8.66   8.57
  1821   3.52   8.20  14.53  11.29   9.56
  1822   5.80   9.62  15.96  10.44  10.07
  1823   1.47   7.99  13.62   9.33   8.41
  1824   4.61   7.57  14.85  10.13   9.32
  1825   4.28   8.57  15.89  10.38   9.77
  1826   3.72   8.77  17.61   9.72  10.09
  1827   2.81   8.91  15.17  10.69   9.52
  1828   5.75   9.12  15.57  10.63  10.32
  1829   4.00   7.85  14.77   8.04   8.18
  1830   1.10   9.55  14.22   9.75   8.73
  1831   2.66   9.31  16.34  10.69  10.13
  1832   4.11   8.44  15.51  10.07   9.50
  1833   3.95   8.92  14.90   9.61   9.52
  1834   6.55   9.28  16.18  10.38  10.51
  1835   4.71   8.57  16.12   9.63   9.57
  1836   3.43   8.05  15.10   8.53   8.88
  1837   3.81   5.64  16.05   9.42   8.86
  1838   1.44   7.18  15.05   9.05   8.10
  1839   3.62   6.94  14.61   9.67   8.71
  1840   3.80   8.29  14.61   8.14   8.52
  1841   1.57   9.36  13.78   9.10   8.75
  1842   3.03   8.55  15.74   8.62   9.26
  1843   4.46   8.17  14.33   9.32   9.11
  1844   4.33   8.42  14.53   9.47   8.61
  1845   1.52   6.68  14.23   9.21   8.30
  1846   5.75   8.75  17.09  10.36  10.16
  1847   1.67   8.19  15.56  10.05   9.27
  1848   4.05   9.36  14.58   9.45   9.43
  1849   5.04   8.22  14.99   9.70   9.33
  1850   3.41   7.93  15.36   9.19   9.10
  1851   4.98   7.88  14.81   8.89   9.18
  1852   4.81   8.00  15.94   9.52   9.82
  1853   4.59   7.31  14.64   9.23   8.42
  1854   3.03   8.73  14.62   9.56   9.34
  1855   2.05   6.39  15.29   9.40   8.09
  1856   3.77   7.21  15.25   9.35   9.08
  1857   3.75   8.04  16.54  11.00  10.11
  1858   4.25   7.80  15.79   9.53   9.16
  1859   5.11   8.85  16.45   9.11   9.64
  1860   2.28   7.38  13.48   8.51   7.89
  1861   2.52   8.07  15.24   9.72   9.15
  1862   4.27   8.87  13.85   8.85   9.21
  1863   5.73   8.63  14.78   9.60   9.69
  1864   3.70   8.63  14.44   9.49   8.86
  1865   2.71   8.68  15.77  10.89   9.72
  1866   5.36   7.79  15.23  10.14   9.68
  1867   4.66   7.92  15.11   9.23   9.03
  1868   4.49   9.68  16.88   9.19  10.40
  1869   6.74   7.81  15.36   9.96   9.61
  1870   2.97   8.53  16.14   9.04   9.02
  1871   2.28   9.10  15.09   8.65   9.07
  1872   5.13   8.23  15.52   9.52   9.76
  1873   4.18   7.67  15.28   8.90   9.03
  1874   4.93   8.82  15.45   9.87   9.33
  1875   2.85   8.67  15.04   9.72   9.48
  1876   4.05   7.33  16.02  10.05   9.53
  1877   5.89   7.00  15.03   9.20   9.19
  1878   4.95   8.70  15.98   9.01   9.26
  1879   0.62   6.44  13.67   8.54   7.44
  1880   2.39   8.17  15.25   9.00   9.09
  1881   2.22   8.15  14.61   9.61   8.58
  1882   5.03   9.11  14.41   9.25   9.48
  1883   4.79   6.85  14.57   9.60   9.04
  1884   5.45   8.35  15.89   9.72   9.85
  1885   4.32   7.03  14.61   8.52   8.58
  1886   2.46   7.37  15.12  10.51   8.74
  1887   2.66   6.30  16.11   7.76   8.30
  1888   2.55   6.67  13.67   9.25   8.24
  1889   3.76   8.25  15.10   9.42   9.02
  1890   4.07   8.35  14.04   9.91   8.77
  1891   1.39   6.50  14.63   9.73   8.51
  1892   3.33   7.20  14.31   8.62   8.18
  1893   2.84  10.20  16.48   9.34  10.01
  1894   4.41   8.52  14.54   9.60   9.32
  1895   1.27   8.57  15.27   9.97   8.70
  1896   4.43   9.23  15.56   8.09   9.34
  1897   3.70   7.88  15.94   9.87   9.44
  1898   5.39   7.66  15.15  11.23  10.10
  1899   5.79   7.60  16.95  10.15   9.71
  1900   3.08   7.42  15.85  10.23   9.60
  1901   4.40   8.06  15.85   9.47   9.15
  1902   3.26   7.70  14.30   9.73   8.88
  1903   5.24   8.22  14.21  10.01   9.33
  1904   3.60   7.96  15.19   9.13   9.02
  1905   4.13   8.31  15.54   8.12   9.16
  1906   4.48   7.64  15.61  10.70   9.47
  1907   3.14   8.14  13.61   9.96   8.88
  1908   4.11   7.58  14.91  10.71   9.28
  1909   3.45   7.79  13.96   9.05   8.59
  1910   4.14   8.20  14.70   8.79   9.19
  1911   5.01   8.54  16.99   9.76  10.09
  1912   5.06   9.37  14.30   8.53   9.37
  1913   5.35   8.57  14.70  11.13   9.83
  1914   5.15   8.89  15.51  10.14   9.90
  1915   4.33   7.97  14.77   8.44   8.96
  1916   5.60   7.69  14.53  10.14   9.21
  1917   1.49   7.15  15.54   9.74   8.55
  1918   4.12   8.49  14.95   8.90   9.53
  1919   3.97   8.08  14.64   7.80   8.53
  1920   5.56   9.08  14.03  10.07   9.58
  1921   5.45   8.98  16.22  10.53  10.51
  1922   4.88   7.62  13.70   8.76   8.70
  1923   5.67   7.77  15.09   8.51   9.11
  1924   3.95   7.54  14.44  10.17   9.29
  1925   5.79   8.01  15.74   8.52   9.20
  1926   4.66   8.59  15.66   9.45   9.74
  1927   4.24   8.81  14.76   9.74   9.24
  1928   4.34   8.57  14.79  10.17   9.59
  1929   1.74   8.11  14.92  10.52   9.06
  1930   4.70   8.10  15.40  10.10   9.47
  1931   3.80   7.77  14.70   9.36   9.02
  1932   4.88   7.37  15.78   9.43   9.41
  1933   4.06   9.44  17.02  10.20   9.86
  1934   3.15   8.03  16.18  10.44  10.03
  1935   6.14   8.23  16.28   9.99   9.74
  1936   3.04   8.32  15.37   9.76   9.35
  1937   5.36   8.32  15.72   9.64   9.59
  1938   4.58   9.15  15.31  11.23  10.21
  1939   4.70   8.67  15.38  10.34   9.70
  1940   1.44   9.07  15.69   9.76   9.06
  1941   2.57   6.97  15.71  10.50   9.12
  1942   2.27   8.49  15.51   9.64   9.11
  1943   5.89   9.59  15.65  10.07  10.05
  1944   4.32   8.92  15.69   9.33   9.59
  1945   3.59  10.07  15.75  11.17  10.29
  1946   4.45   8.55  14.72  10.62   9.46
  1947   1.23   8.57  17.05  10.90   9.65
  1948   5.07   9.57  14.81  10.40  10.03
  1949   5.63   8.75  16.51  11.54  10.64
  1950   5.09   8.78  15.90   9.40   9.43
  1951   2.91   7.00  15.04  10.65   9.30
  1952   3.88   9.87  15.68   7.91   9.12
  1953   3.44   8.51  15.38  10.66   9.87
  1954   4.18   8.21  14.07  10.52   9.26
  1955   3.61   7.38  16.56  10.12   9.33
  1956   3.00   8.28  14.14   9.89   8.87
  1957   5.51   9.47  15.64   9.91  10.06
  1958   4.18   7.40  15.28  10.77   9.45
  1959   3.55   9.84  16.58  11.55  10.52
  1960   4.65   9.37  15.39  10.23   9.75
  1961   4.83   9.73  15.01  10.70   9.95
  1962   3.61   6.92  14.43   9.52   8.61
  1963  -0.32   8.43  14.80  10.74   8.52
  1964   3.48   8.77  15.15  10.12   9.48
  1965   3.34   8.32  14.53   9.29   8.99
  1966   4.39   8.24  15.03   9.84   9.47
  1967   5.12   8.37  15.48   9.91   9.64
  1968   3.55   8.07  15.07  10.98   9.33
  1969   3.24   7.32  15.72  10.81   9.32
  1970   3.29   7.81  15.86  10.96   9.60
  1971   4.43   8.14  14.99  10.44   9.72
  1972   4.95   8.40  14.19   9.55   9.22
  1973   4.89   8.21  15.64   9.76   9.57
  1974   5.41   8.26  14.70   8.72   9.55
  1975   6.43   7.61  16.89   9.69   9.94
  1976   5.16   8.26  17.72   9.89  10.00
  1977   3.18   8.17  14.39  10.35   9.40
  1978   4.04   8.24  14.44  11.34   9.35
  1979   1.51   7.38  14.93  10.34   8.74
  1980   4.52   8.21  14.78   9.91   9.35
  1981   4.45   8.95  14.98  10.06   9.19
  1982   2.43   8.72  15.88  10.58   9.78
  1983   4.30   7.85  17.08  10.44  10.06
  1984   4.27   7.57  16.31  10.79   9.72
  1985   2.74   7.95  14.47   9.79   8.86
  1986   3.01   7.26  14.72   9.93   8.75
  1987   3.50   8.13  14.74   9.84   9.03
  1988   5.23   8.83  14.70   9.52   9.74
  1989   6.50   9.03  16.40  10.73  10.46
  1990   6.15   9.63  16.12  10.55  10.59
  1991   3.05   8.83  15.45  10.43   9.50
  1992   4.51   9.94  15.72   9.39   9.81
  1993   4.66   9.19  14.90   8.38   9.48
  1994   4.68   8.81  16.15  10.87  10.23
  1995   5.83   8.78  17.33  11.34  10.49
  1996   2.99   7.41  15.83  10.30   9.20
  1997   3.87   9.65  16.56  10.81  10.51
  1998   6.00   9.59  15.19  10.44  10.30
  1999   5.42   9.94  15.89  11.30  10.61
  2000   5.30   9.16  15.67  10.60  10.25
  2001   4.32   8.52  16.10  11.43   9.96
